MeID,Length,Area,Circle,Density
0,408.97,9679.11,0.73,0.04
1,1569.86,33597.9,0.17,0.05
2,131.29,674.55,0.49,0.19
3,873.25,11668.5,0.19,0.07
4,570.24,11512.1,0.44,0.05
5,494.18,8647.48,0.44,0.06
6,2332.07,89688.1,0.21,0.03
7,567.41,8700.43,0.34,0.07
8,416.37,5639.25,0.41,0.07
9,869.31,19575.4,0.33,0.04
10,1596.85,21714,0.11,0.07
11,3341.79,108507,0.12,0.03
12,1483.64,51772.1,0.3,0.03
13,1098.56,20588.5,0.21,0.05
14,6182.78,1085260,0.36,0.01
15,554.66,15620.3,0.64,0.04
16,171.55,1615.1,0.69,0.11
17,154.17,1215.16,0.64,0.13
18,493.61,13347.8,0.69,0.04
19,155.6,490.69,0.25,0.32
20,1221.86,74582.2,0.63,0.02
21,208.83,851.78,0.25,0.25
22,95.71,541.32,0.74,0.18
23,232.37,1857.13,0.43,0.13
24,127.62,918.63,0.71,0.14
25,870.02,10890.5,0.18,0.08
26,1636.29,69417,0.33,0.02
27,501.78,7398.12,0.37,0.07
28,3708.81,47892.2,0.04,0.08
29,437.94,5061.92,0.33,0.09
30,332.3,4450.88,0.51,0.07
31,599.57,4095.18,0.14,0.15
32,436.98,2898.72,0.19,0.15
33,34267.7,43954300,0.47,0
34,1437.01,25983.4,0.16,0.06
35,380.88,5484.37,0.47,0.07
36,1909.06,94539.8,0.33,0.02
37,451.29,11127.7,0.69,0.04
38,339.43,6139.81,0.67,0.06
39,319.99,3718.07,0.46,0.09
40,338.06,4370.45,0.48,0.08
41,311.51,3169.02,0.41,0.1
42,287.22,2915.46,0.44,0.1
43,304.06,3245.95,0.44,0.09
44,316.32,3494.81,0.44,0.09
45,572.16,7089.19,0.27,0.08
46,327.12,4239.9,0.5,0.08
47,268.27,3008.97,0.53,0.09
48,535.48,12774.9,0.56,0.04
49,353.35,4954.92,0.5,0.07
50,326.13,4346.72,0.51,0.08
51,315.41,5102.57,0.64,0.06
52,139.81,1116.88,0.72,0.13
53,244.2,2454.69,0.52,0.1
54,378.88,7794.21,0.68,0.05
55,62.87,196.7,0.62,0.32
56,473.34,9757.53,0.55,0.05
57,187.23,1761.76,0.63,0.11
58,200.08,2212.75,0.69,0.09
59,215.02,2602.6,0.71,0.08
60,264.42,4209.1,0.76,0.06
61,402.25,7971.3,0.62,0.05
62,286.56,5371.65,0.82,0.05
63,3215.53,124623,0.15,0.03
64,1325.62,36572.2,0.26,0.04
65,163.34,1539.06,0.72,0.11
66,788.06,26568,0.54,0.03
67,1166.46,63512,0.59,0.02
68,379.74,4570.45,0.4,0.08
69,8.83,0.14,0.02,63.07
70,563.35,14336.9,0.57,0.04
71,353.68,2268.41,0.23,0.16
72,180.37,2172.47,0.84,0.08
73,891.28,23952.1,0.38,0.04
74,3199.71,354415,0.43,0.01
75,174.3,1768.76,0.73,0.1
76,181.62,1810.29,0.69,0.1
77,3931.31,428906,0.35,0.01
78,906.6,20712.1,0.32,0.04
79,23235.6,23088700,0.54,0
80,534.02,4805.63,0.21,0.11
81,2589.28,305466,0.57,0.01
82,334.32,5288.83,0.59,0.06
83,331.91,5197.64,0.59,0.06
84,331.32,5211.83,0.6,0.06
85,332.1,5181.65,0.59,0.06
86,428.3,4840.81,0.33,0.09
87,418.93,7539.22,0.54,0.06
88,207.67,1411.82,0.41,0.15
89,199.87,1288.01,0.4,0.16
90,1959.59,57208.8,0.19,0.03
91,2114.95,160387,0.45,0.01
92,652.68,13403.6,0.4,0.05
93,678.68,13356.9,0.36,0.05
94,689.22,10978.8,0.29,0.06
95,110.96,687.81,0.7,0.16
96,85.26,289.67,0.5,0.29
97,255.34,3270.83,0.63,0.08
98,473.47,11900,0.67,0.04
99,472.64,11278.2,0.63,0.04
100,37.67,49.97,0.44,0.75
101,264,2925.21,0.53,0.09
102,236.55,2401.38,0.54,0.1
103,290.94,4961.92,0.74,0.06
104,331.69,5957.54,0.68,0.06
105,876.34,35833.8,0.59,0.02
106,794.48,23187,0.46,0.03
107,383.1,7047.32,0.6,0.05
108,651.92,22513.9,0.67,0.03
109,373.18,7965.3,0.72,0.05
110,390.76,7715.36,0.63,0.05
111,729.2,30014.3,0.71,0.02
112,1594.96,51301.3,0.25,0.03
