reference_id,details,authors,year
文献1,"Benz S A, Weibel R. Road network selection for medium scales using an extended stroke-mesh combination algorithm [J]. Cartography & Geographic Information Science, 2014, 41(4):323-339.","Benz S A, Weibel R. ",2014
文献2,"Bulatov D., Wenzel S., H?ufel, G. et al. Chain-wise generalization of road networks using model selection [J]. ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, 2017, 4, 59.","Bulatov D., Wenzel S., H?ufel, G. et al.",2017
文献3,"Chen J, Hu Y, Li Z, et al. Selective omission of road features based on mesh density for automatic map generalization [J]. International Journal of Geographical Information Science, 2009, 23(8): 1013-1032.","Chen J, Hu Y, Li Z, et al.",2009
文献4,"Duchêne C, Touya G, Taillandier P, et al. Multi-agents systems for cartographic generalization: feedback from past and on-going research [D]. IGN (Institut National de l’Information Géographique et Forestière); LaSTIG, équipe COGIT, 2018.","Duchêne C, Touya G, Taillandier P, et al. ",2018
文献5,"Guo Q, Xu X, Wang Y, et al. Combined matching approach of road networks under different scales considering constraints of cartographic generalization [J]. IEEE Access, 2019, 8: 944-956.","Guo Q, Xu X, Wang Y, et al. ",2019
文献6,"Hu Y, Mai G, Cundy C, et al. Geo-knowledge-guided GPT models improve the extraction of location descriptions from disaster-related social media messages [J]. International Journal of Geographical Information Science, 2023, 37(11): 2289-2318.","Hu Y, Mai G, Cundy C, et al. ",2023
文献7,"Juhász L, Mooney P, Hochmair H H, et al. ChatGPT as a mapping assistant: A novel method to enrich maps with generative AI and content derived from street-level photographs [EB/OL]. 2023.","Juhász L, Mooney P, Hochmair H H, et al. ",2023
文献8,"Kim Y, Fukuyasu H, Yamamoto D, et al. A road generalization method using layered stroke networks [C]. Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Location-based Recommendations, Geosocial Networks and Geoadvertising. 2019: 1-10.","Kim Y, Fukuyasu H, Yamamoto D, et al.",2019
文献9,"Lemay A, Hoebel K, Bridge C P, et al. Improving the repeatability of deep learning models with Monte Carlo dropout [J]. npj Digital Medicine, 2022, 5(1): 174.","Lemay A, Hoebel K, Bridge C P, et al.",2022
文献10,"Li C, Wu W, Wu P, et al. An elimination method for isolated meshes in a road network considering stroke edge feature [J]. Plos one, 2020a, 15(11): e0239828.","Li C, Wu W, Wu P, et al. ",2020
文献11,"Li C, Zhang H, Wu P, et al. A complex junction recognition method based on GoogLeNet model [J]. Transactions in GIS, 2020b, 24(6): 1756-1778.","Li C, Zhang H, Wu P, et al.",2020
文献12,"Li Z, Zhou Q. Integration of linear and areal hierarchies for continuous multi-scale representation of road networks [J]. International Journal of Geographical Information Science, 2012, 26(5): 855-880.","Li Z, Zhou Q. ",2012
文献13,"Liu X., Ai T., Liu Y. Road density analysis based on skeleton partitioning for road generalization [J]. Geo-spatial Information Science, 2009, 12(2), 110-116.","Liu X., Ai T., Liu Y. ",2009
文献14,"Liu X, Zhan F, Ai T. Road selection based on voronoi diagrams and ‘Strokes’ in map generalization [J]. International Journal of Applied Earth Observation and Geoinformation, 2010, 12: 194-202.","Liu X, Zhan F, Ai T. ",2010
文献15,"Mackaness W. A., Beard K. M. Use of graph theory to support map generalization [J]. Cartography and Geographic Information Systems, 1993, 20(4), 210-221.","Mackaness W. A., Beard K. M. ",1993
文献16,"Milanés-Hermosilla D, Trujillo Codorniú R, López-Baracaldo R, et al. Monte carlo dropout for uncertainty estimation and motor imagery classification [J]. Sensors, 2021, 21(21): 7241.","Milanés-Hermosilla D, Trujillo Codorniú R, López-Baracaldo R, et al.",2021
文献17,"Min E, Chen R, Bian Y, et al. Transformer for graphs: An overview from architecture perspective [J]. arXiv preprint arXiv:2202.08455, 2022.","Min E, Chen R, Bian Y, et al. ",2022
文献18,"Rampá?ek L, Galkin M, Dwivedi V P, et al. Recipe for a general, powerful, scalable graph transformer [J]. Advances in Neural Information Processing Systems, 2022, 35: 14501-14515.","Rampá?ek L, Galkin M, Dwivedi V P, et al.",2022
文献19,"Seoh R. Qualitative analysis of monte carlo dropout [J]. arXiv preprint arXiv:2007.01720, 2020.",Seoh R. ,2020
文献20,"Shoman W., Gülgen F. Centrality-based hierarchy for street network generalization in multi-resolution maps [J]. Geocarto International, 2017, 32(12), 1352-1366.","Shoman W., Gülgen F. ",2017
文献21,"Tao R , Xu J .Mapping with ChatGPT [J].ISPRS International Journal of Geo-Information, 2023, 12(7), 284.","Tao R , Xu J ",2023
文献22,"Thomson R., C. The stroke conception geographic network generalization and analysis [J]. Progress in Spatial Data Handing, 2006, 11:681-697.","Thomson R., C. ",2006
文献23,"Topfer F., Pillewizer, W. The principles of selection: a means of cartographic generalization [J]. The Cartographic Journal, 1966, 3(1), 10-16.","Topfer F., Pillewizer, W. ",1966
文献24,"Touya G. A road network selection process based on data enrichment and structure detection [J]. Transactions in GIS, 2010, 14(5): 595-614.",Touya G. ,2010
文献25,"Touya G, Zhang X, Lokhat I. Is deep learning the new agent for map generalization? [J]. International Journal of Cartography, 2019, 5(2-3): 142-157.","Touya G, Zhang X, Lokhat I.",2019
文献26,"Touya G, Lokhat I. Deep learning for enrichment of vector spatial databases: Application to highway interchange [J]. ACM Transactions on Spatial Algorithms and Systems (TSAS), 2020, 6(3): 1-21.","Touya G, Lokhat I. ",2020
文献27,"Vaswani A, Shazeer N, Parmar N, et al. Attention is all you need [C]. Proceedings of the 31st International Conference on Neural Information Processing Systems. Red Hook: Curran Associates Inc., 2017: 6000-6010.","Vaswani A, Shazeer N, Parmar N, et al. ",2017
文献28,"Wu P, Yin Y, Wu C, et al. An automatic generalization method for a dense road network area considering spatial structural features as constraints [J]. ISPRS International Journal of Geo-Information, 2022, 11(12): 599.","Wu P, Yin Y, Wu C, et al. ",2022
文献29,"Yan X, Ai T, Yang M, et al. A graph convolutional neural network for classification of building patterns using spatial vector data [J]. ISPRS journal of photogrammetry and remote sensing, 2019, 150: 259-273.","Yan X, Ai T, Yang M, et al.",2019
文献30,"Yang M, Jiang C, Yan X, et al. Detecting interchanges in road networks using a graph convolutional network approach [J]. International Journal of Geographical Information Science, 2022, 36(6): 1119-1139.","Yang M, Jiang C, Yan X, et al.",2022
文献31,"Yu W, Zhang Y, Ai T, et al. Road network generalization considering traffic flow patterns [J]. International Journal of Geographical Information Science, 2019(1):1-31.","Yu W, Zhang Y, Ai T, et al.",2019
文献32,"Yun S, Jeong M, Kim R, et al. Graph transformer networks [J]. Advances in neural information processing systems, 2019, 32.","Yun S, Jeong M, Kim R, et al.",2019
文献33,"Zhang Y, He Z, Li J, et al. MapGPT: an autonomous framework for mapping by integrating large language model and cartographic tools [J]. Cartography and Geographic Information Science, 2024, 51(6): 717-743.","Zhang Y, He Z, Li J, et al.",2024
文献34,"Zhou Q., Li Z. A comparative study of various strategies to concatenate road segments into strokes for map generalization [J]. International Journal of Geographical Information Science, 2012, 26(4):691-715.","Zhou Q., Li Z.",2012
文献35,"Zhou Q., Li Z. Empirical determination of geometric parameters for selective omission in a road network [J]. International journal of geographical information science, 2016, 30(2), 263-299.","Zhou Q., Li Z. ",2016
文献36,"艾廷华. 深度学习赋能地图制图的若干思考 [J]. 测绘学报, 2021, 50 (09): 1170-1182.",艾廷华. ,2021
文献37,"郭漩,钱海忠,王骁,刘俊楠,钟吉. 道路网选取的案例与本体推理方法 [J].测绘学报,2021,50(12):1717-1727.","郭漩,钱海忠,王骁,刘俊楠,钟吉. ",2021
文献38,"郭漩,钱海忠,王骁,刘俊楠,任琰,赵钰哲,陈国庆. 多源道路智能选取的本体知识推理方法[J]. 测绘学报, 2022, 51(2): 279-289.","郭漩,钱海忠,王骁,刘俊楠,任琰,赵钰哲,陈国庆. ",2022
文献39,"何海威,钱海忠,刘海龙,等．道路网层次骨架控制的道路选取方法 [J]．测绘学报,2015,44(4):453-461,470.","何海威,钱海忠,刘海龙,等．",2015
文献40,"何宗宜,宋鹰. 普通地图编制 [M]. 武汉:武汉大学出版社,2015.","何宗宜,宋鹰. ",2015
文献41,"李进．基于BP神经网络的道路网选取方法研究 [D]．南京:南京大学,2014.",李进．,2014
文献42,"李志林,徐柱,慎利,等. 自主式情境化地图表达：大模型时代的智能化地图制图理论探讨 [J]. 测绘学报, 2024, 53 (11): 2043-2052.","李志林,徐柱,慎利,等. ",2024
文献43,"刘佩，袁林辉，张康，等. 基于RBF神经网络的OSM道路网智能选取 [J].地理信息世界,2019,26(3):8-13.",刘佩，袁林辉，张康，等. ,2019
文献44,"马京振,孙群,温伯威,等. 结合轨迹数据的混合多特征道路网选取方法 [J]. 武汉大学学报·信息科学版, 2022, 47(7):1009-1016.","马京振,孙群,温伯威,等. ",2022
文献45,"钱海忠,张钊,翟银凤,金永岗,逮喜宏. 特征识别、Stroke与极化变换结合的道路网选取 [J].测绘科学技术学报,2010,27(05):371-374.","钱海忠,张钊,翟银凤,金永岗,逮喜宏",2010
