RoID,fclass,Name,bridge,tunnel,ClassZn2,Shape_Leng
0,residential,未命名,F,F,6,510.69
1,residential,亮马桥中街,F,F,6,206.98
2,residential,麦子店西街,F,F,6,491.41
3,residential,安家楼路,F,F,6,314.37
4,residential,大阮府胡同,F,F,6,345.35
5,residential,未命名,F,F,6,136.4
6,residential,幸福一村三巷,F,F,6,294.58
7,residential,东经路,F,F,6,305.35
8,residential,东四块玉南街,F,F,6,421.25
9,residential,南岗子街,F,F,6,271.39
10,residential,未命名,F,F,6,222.97
11,residential,和平里北街,F,F,6,205.17
12,residential,雅秀北路,F,F,6,415.3
13,residential,未命名,F,F,6,317.23
14,residential,未命名,F,F,6,1357.46
15,residential,未命名,F,F,6,245.89
16,residential,西总部胡同,F,F,6,755.57
17,residential,新开路胡同,F,F,6,415.81
18,residential,外交部街,F,F,6,540.19
19,residential,政协路,F,F,6,172.75
20,residential,北极阁路,F,F,6,378.02
21,residential,邮通街,F,F,6,387.93
22,residential,未命名,F,F,6,75.06
23,residential,东总布胡同,F,F,6,689.62
24,residential,未命名,F,F,6,273.67
25,residential,朝外二条东巷,F,F,6,330.11
26,residential,雅宝路,F,F,6,505.09
27,residential,未命名,F,F,6,369.61
28,residential,朝外头条,F,F,6,778.06
29,residential,神路街,F,F,6,531.92
30,residential,秀水北街,F,F,6,1075.62
31,residential,秀水南街,F,F,6,710.34
32,residential,新鲜胡同,F,F,6,309.2
33,residential,干面胡同,F,F,6,749.76
34,residential,钱粮胡同,F,F,6,561.26
35,residential,大佛寺东街,F,F,6,264.68
36,residential,东黄城根北街,F,F,6,431.9
37,residential,芳草地西街,F,F,6,512.12
38,residential,未命名,F,F,6,224.3
39,residential,煤渣胡同,F,F,6,339.43
40,residential,柏树胡同,F,F,6,569.93
41,residential,未命名,F,F,6,78.99
42,residential,未命名,F,F,6,824.41
43,residential,未命名,F,F,6,290.46
44,residential,北新仓胡同,F,F,6,502.86
45,residential,东交民巷,F,F,6,1498.83
46,residential,仓夹道,F,F,6,806.92
47,residential,未命名,F,F,6,85.54
48,residential,柳荫街,F,F,6,35.72
49,residential,金锭桥,T,F,6,46.16
50,residential,未命名,F,F,6,92.53
51,residential,后海北沿,F,F,6,1306.24
52,residential,金顶东路,F,F,6,323.57
53,residential,金顶北路,F,F,6,257.82
54,residential,法海寺路,F,F,6,359.39
55,residential,碧云寺路,F,F,6,568.05
56,residential,公主坟路,F,F,6,333.17
57,residential,未命名,F,F,6,1397.27
58,residential,未命名,F,F,6,20.92
59,residential,创业路,F,F,6,1350.8
60,residential,上地六街,F,F,6,148.01
61,residential,未命名,F,F,6,180.42
62,residential,未命名,F,F,6,240.28
63,residential,上地八街,F,F,6,590.22
64,residential,上地四街,F,F,6,656.96
65,residential,芳城路,F,F,6,745
66,residential,未命名,F,F,6,266.23
67,residential,未命名,F,F,6,2.03
68,residential,前海北沿,F,F,6,470.07
69,residential,后海南沿,F,F,6,583.72
70,residential,未命名,F,F,6,87.77
71,residential,未命名,F,F,6,206.5
72,residential,菜户营西路,F,F,6,130.22
73,residential,未命名,F,F,6,22.98
74,residential,未命名,F,F,6,410.85
75,residential,未命名,F,F,6,20.01
76,residential,城内街,F,F,6,688.63
77,residential,上地五街,F,F,6,621.43
78,residential,未命名,F,F,6,837.16
79,residential,芳群路,F,F,6,305.32
80,residential,群星路,F,F,6,413.85
81,residential,八棵杨中街,F,F,6,517.14
82,residential,未命名,F,F,6,797.84
83,residential,八棵杨北街,F,F,6,494.65
84,residential,未命名,F,F,6,1591.4
85,residential,未命名,F,F,6,503.27
86,residential,未命名,F,F,6,1099.45
87,residential,未命名,F,F,6,707.12
88,residential,东方东路,F,F,6,799.27
89,residential,亮马桥北街,F,F,6,391.04
90,residential,同仁东路,F,F,6,657.18
91,residential,五老胡同,F,F,6,454.62
92,residential,未命名,F,F,6,437.65
93,residential,石门东路,F,F,6,1033.49
94,residential,未命名,F,F,6,618.99
95,residential,未命名,F,F,6,603
96,residential,未命名,F,F,6,198.74
97,residential,未命名,F,F,6,177.12
98,residential,未命名,T,F,6,335.29
99,residential,未命名,T,F,6,307.8
100,residential,清河路,F,F,6,2389.34
101,residential,法华寺路,F,F,6,612.23
102,residential,厂洼街,F,F,6,40.03
103,residential,七贤村路,F,F,6,665.71
104,residential,未命名,F,F,6,7.02
105,residential,香饵胡同,F,F,6,711.59
106,residential,旌勇里,F,F,6,187.03
107,residential,护国寺街,F,F,6,586.86
108,residential,留学路,F,F,6,433.47
109,residential,西平园胡同,F,F,6,253.13
110,residential,前井胡同,F,F,6,242.4
111,residential,未命名,F,F,6,53.88
112,residential,未命名,F,F,6,51.52
113,residential,五福里,F,F,6,74.84
114,residential,西海东沿,F,F,6,367.76
115,residential,国子监街,F,F,6,708.63
116,residential,育群胡同,F,F,6,563.44
117,residential,大石桥胡同,F,F,6,569.42
118,residential,沙滩后街,F,F,6,342.95
119,residential,沙滩北街,F,F,6,370.7
120,residential,东厂胡同,F,F,6,350.25
121,residential,富强胡同,F,F,6,436.84
122,residential,小草厂胡同,F,F,6,189.6
123,residential,大鹁鸽胡同,F,F,6,195.81
124,residential,未命名,F,F,6,11.56
125,residential,东堂子胡同,F,F,6,749.64
126,residential,大羊宜宾胡同,F,F,6,250.83
127,residential,西堂子胡同,F,F,6,485.56
128,residential,中绦胡同,F,F,6,348.64
129,residential,小石桥胡同,F,F,6,303.6
130,residential,小八道湾胡同,F,F,6,195.98
131,residential,廊房头条,F,F,6,275.61
132,residential,粮食店街,F,F,6,518.23
