SeID,Relationship,RoID
0,Part_of,39721
1,Part_of,39721
2,Part_of,39721
3,Part_of,39721
4,Part_of,39721
5,Part_of,39721
6,Part_of,39721
7,Part_of,39721
8,Part_of,39721
9,Part_of,39721
10,Part_of,39721
11,Part_of,39721
12,Part_of,39721
13,Part_of,39721
14,Part_of,39721
15,Part_of,39721
16,Part_of,39721
17,Part_of,39721
18,Part_of,39721
19,Part_of,39721
20,Part_of,39724
21,Part_of,39724
22,Part_of,39724
23,Part_of,39724
24,Part_of,39724
25,Part_of,39724
26,Part_of,39724
27,Part_of,39724
28,Part_of,5433
29,Part_of,5433
30,Part_of,5433
31,Part_of,39724
32,Part_of,5433
33,Part_of,39724
34,Part_of,5433
35,Part_of,5432
36,Part_of,5432
37,Part_of,5432
38,Part_of,5432
39,Part_of,5432
40,Part_of,39149
41,Part_of,39149
42,Part_of,39149
43,Part_of,39149
44,Part_of,39149
45,Part_of,9759
46,Part_of,33964
47,Part_of,33963
48,Part_of,33963
49,Part_of,33964
50,Part_of,33964
51,Part_of,33963
52,Part_of,33963
53,Part_of,33964
54,Part_of,33964
55,Part_of,33964
56,Part_of,34118
57,Part_of,33963
58,Part_of,33964
59,Part_of,9759
60,Part_of,9759
61,Part_of,33958
62,Part_of,33958
63,Part_of,33958
64,Part_of,33958
65,Part_of,33961
66,Part_of,33961
67,Part_of,33958
68,Part_of,33958
69,Part_of,33958
70,Part_of,33958
71,Part_of,33876
72,Part_of,33876
73,Part_of,33876
74,Part_of,9759
75,Part_of,33877
76,Part_of,33877
77,Part_of,33877
78,Part_of,33877
79,Part_of,33877
80,Part_of,33876
81,Part_of,33878
82,Part_of,33879
83,Part_of,33880
84,Part_of,33880
85,Part_of,33885
86,Part_of,33881
87,Part_of,33881
88,Part_of,33881
89,Part_of,33880
90,Part_of,33882
91,Part_of,33882
92,Part_of,33883
93,Part_of,33883
94,Part_of,33884
95,Part_of,33883
96,Part_of,33890
97,Part_of,33881
98,Part_of,33882
99,Part_of,33891
100,Part_of,33891
101,Part_of,33891
102,Part_of,33891
103,Part_of,33893
104,Part_of,33892
105,Part_of,33893
106,Part_of,39150
107,Part_of,39150
108,Part_of,39431
109,Part_of,39431
110,Part_of,39431
111,Part_of,33895
112,Part_of,33896
113,Part_of,33896
114,Part_of,33897
115,Part_of,33922
116,Part_of,33896
117,Part_of,33896
118,Part_of,33896
119,Part_of,33896
120,Part_of,33896
121,Part_of,33896
122,Part_of,33897
123,Part_of,33897
124,Part_of,33897
125,Part_of,33897
126,Part_of,33897
127,Part_of,33898
128,Part_of,33899
129,Part_of,33897
130,Part_of,33897
131,Part_of,33920
132,Part_of,33905
133,Part_of,39150
134,Part_of,39150
135,Part_of,33905
136,Part_of,33905
137,Part_of,33902
138,Part_of,33905
139,Part_of,33905
140,Part_of,33902
141,Part_of,33904
142,Part_of,33902
143,Part_of,33902
144,Part_of,33902
145,Part_of,33903
146,Part_of,8022
147,Part_of,33902
148,Part_of,33902
149,Part_of,33902
150,Part_of,33901
151,Part_of,33905
152,Part_of,33902
153,Part_of,33902
154,Part_of,33901
155,Part_of,33901
156,Part_of,33905
157,Part_of,33904
158,Part_of,33902
159,Part_of,33901
160,Part_of,33902
161,Part_of,33902
162,Part_of,33901
163,Part_of,33901
164,Part_of,33903
165,Part_of,33902
166,Part_of,33902
167,Part_of,33901
168,Part_of,33901
169,Part_of,33902
170,Part_of,33905
171,Part_of,33905
172,Part_of,33905
173,Part_of,33905
174,Part_of,33905
175,Part_of,33905
176,Part_of,33906
177,Part_of,33906
178,Part_of,33908
179,Part_of,33909
180,Part_of,33909
181,Part_of,33909
182,Part_of,42299
183,Part_of,33911
184,Part_of,8022
185,Part_of,8022
186,Part_of,8022
187,Part_of,42299
188,Part_of,8022
189,Part_of,33917
190,Part_of,33914
191,Part_of,4543
192,Part_of,34190
193,Part_of,33918
194,Part_of,4543
195,Part_of,4543
196,Part_of,4543
197,Part_of,4543
198,Part_of,4543
199,Part_of,36340
200,Part_of,36340
201,Part_of,34190
202,Part_of,34190
203,Part_of,33918
204,Part_of,33918
205,Part_of,28086
206,Part_of,36343
207,Part_of,33918
208,Part_of,33918
209,Part_of,9758
210,Part_of,33918
211,Part_of,33916
212,Part_of,9758
213,Part_of,9758
214,Part_of,9758
215,Part_of,28085
216,Part_of,28085
217,Part_of,28085
218,Part_of,28085
219,Part_of,17654
220,Part_of,34193
221,Part_of,17654
222,Part_of,17654
223,Part_of,34193
224,Part_of,34193
225,Part_of,34193
226,Part_of,34195
227,Part_of,34195
228,Part_of,34195
229,Part_of,17654
230,Part_of,17654
231,Part_of,17655
232,Part_of,17820
233,Part_of,17820
234,Part_of,17820
235,Part_of,39723
236,Part_of,33927
237,Part_of,33931
238,Part_of,33931
239,Part_of,33931
240,Part_of,33932
241,Part_of,33931
242,Part_of,33931
243,Part_of,33931
244,Part_of,33931
245,Part_of,33930
246,Part_of,17657
247,Part_of,33927
248,Part_of,33928
249,Part_of,33928
250,Part_of,33928
251,Part_of,33928
252,Part_of,33928
253,Part_of,33937
254,Part_of,33937
255,Part_of,33937
256,Part_of,33937
257,Part_of,33927
258,Part_of,33928
259,Part_of,33937
260,Part_of,17658
261,Part_of,33928
262,Part_of,33927
263,Part_of,33935
264,Part_of,33937
265,Part_of,33937
266,Part_of,33937
267,Part_of,33937
268,Part_of,33928
269,Part_of,33928
270,Part_of,33936
271,Part_of,33928
272,Part_of,33928
273,Part_of,33927
274,Part_of,33927
275,Part_of,33936
276,Part_of,33927
277,Part_of,33927
