RoID,Relationship,RoID_end
0,Connect_to,3239
0,Connect_to,31873
0,Connect_to,41605
1,Connect_to,3374
1,Connect_to,39673
2,Connect_to,3692
3,Connect_to,88
3,Connect_to,39668
4,Connect_to,1014
4,Connect_to,3037
4,Connect_to,37977
5,Connect_to,3872
5,Connect_to,5524
5,Connect_to,39496
6,Connect_to,2061
6,Connect_to,39496
7,Connect_to,484
7,Connect_to,485
7,Connect_to,1219
7,Connect_to,4746
7,Connect_to,32260
7,Connect_to,39677
7,Connect_to,43535
8,Connect_to,3484
8,Connect_to,18565
8,Connect_to,18566
8,Connect_to,38348
8,Connect_to,38349
8,Connect_to,38351
9,Connect_to,1484
9,Connect_to,1494
9,Connect_to,1500
9,Connect_to,9106
9,Connect_to,39096
10,Connect_to,39256
10,Connect_to,40452
11,Connect_to,464
11,Connect_to,10031
11,Connect_to,39173
12,Connect_to,625
12,Connect_to,3542
12,Connect_to,5236
12,Connect_to,38912
12,Connect_to,39884
13,Connect_to,1661
13,Connect_to,3596
13,Connect_to,39774
14,Connect_to,3512
14,Connect_to,3513
14,Connect_to,38840
15,Connect_to,39953
16,Connect_to,23
16,Connect_to,941
16,Connect_to,958
16,Connect_to,10384
16,Connect_to,38923
17,Connect_to,958
17,Connect_to,962
17,Connect_to,38923
18,Connect_to,10384
18,Connect_to,38923
19,Connect_to,39082
20,Connect_to,942
20,Connect_to,962
20,Connect_to,5612
20,Connect_to,38923
21,Connect_to,1047
21,Connect_to,6684
21,Connect_to,39082
21,Connect_to,41130
22,Connect_to,1028
22,Connect_to,36825
23,Connect_to,16
23,Connect_to,270
23,Connect_to,435
23,Connect_to,986
23,Connect_to,1001
23,Connect_to,1009
23,Connect_to,1013
23,Connect_to,39339
23,Connect_to,41224
24,Connect_to,39339
25,Connect_to,39850
25,Connect_to,40637
26,Connect_to,28
26,Connect_to,39850
26,Connect_to,40637
26,Connect_to,41224
27,Connect_to,28
27,Connect_to,39850
28,Connect_to,26
28,Connect_to,27
28,Connect_to,30
