scheme_id,Relationship,scale_integration_principle_id
路网选取方案1,包含,比例尺综合原则_25000
路网选取方案1,包含,比例尺综合原则_50000
路网选取方案1,包含,比例尺综合原则_100000
路网选取方案1,包含,比例尺综合原则_250000
路网选取方案1,包含,比例尺综合原则_500000
路网选取方案1,包含,比例尺综合原则_1000000
路网选取方案2,包含,比例尺综合原则_25000
路网选取方案2,包含,比例尺综合原则_50000
路网选取方案2,包含,比例尺综合原则_100000
路网选取方案2,包含,比例尺综合原则_250000
路网选取方案2,包含,比例尺综合原则_500000
路网选取方案2,包含,比例尺综合原则_1000000
路网选取方案3,包含,比例尺综合原则_25000
路网选取方案3,包含,比例尺综合原则_50000
路网选取方案3,包含,比例尺综合原则_100000
路网选取方案3,包含,比例尺综合原则_250000
路网选取方案3,包含,比例尺综合原则_500000
路网选取方案3,包含,比例尺综合原则_1000000
路网选取方案4,包含,比例尺综合原则_25000
路网选取方案4,包含,比例尺综合原则_50000
路网选取方案4,包含,比例尺综合原则_100000
路网选取方案4,包含,比例尺综合原则_250000
路网选取方案4,包含,比例尺综合原则_500000
路网选取方案4,包含,比例尺综合原则_1000000
路网选取方案5,包含,比例尺综合原则_25000
路网选取方案5,包含,比例尺综合原则_50000
路网选取方案5,包含,比例尺综合原则_100000
路网选取方案5,包含,比例尺综合原则_250000
路网选取方案5,包含,比例尺综合原则_500000
路网选取方案5,包含,比例尺综合原则_1000000
路网选取方案6,包含,比例尺综合原则_25000
路网选取方案6,包含,比例尺综合原则_50000
路网选取方案6,包含,比例尺综合原则_100000
路网选取方案6,包含,比例尺综合原则_250000
路网选取方案6,包含,比例尺综合原则_500000
路网选取方案6,包含,比例尺综合原则_1000000
