SeID,Length
0,250.87
1,158.09
2,562.13
3,89.47
4,773.78
5,706.62
6,9.36
7,70.08
8,61.21
9,409.25
10,464
11,9.26
12,291.46
13,278.79
14,201.05
15,70.32
16,222.81
17,1117.47
18,991.79
19,9.33
20,300.27
21,267.14
22,9.77
23,220.69
24,195.68
25,448.15
26,421.16
27,784.89
28,123.97
29,648.92
30,728.81
31,39.08
32,105.92
33,1625.99
34,0.81
35,628.35
36,539.78
37,558.78
38,0
39,382.87
40,2020.98
41,3750.89
42,2431.89
43,323.28
44,231.39
45,889.21
46,143.62
47,42.95
48,47.58
49,27.93
50,81.01
51,36.33
52,63.15
53,72.12
54,4.75
55,78.73
56,44.04
57,54.69
58,141.66
59,809.52
60,412.34
61,360.66
62,189.08
63,107.92
64,100.9
65,73.11
66,22.6
67,138.42
68,93.95
69,127.62
70,413.18
71,825.48
72,263.93
73,783.67
74,1452.05
75,48.75
76,139.41
77,151.27
78,0
79,2930.98
80,26.55
81,0.59
82,391.49
83,69.36
84,26.74
85,1007.49
86,0.41
87,67.58
88,25.22
89,100.74
90,32.3
91,67.31
92,38.06
93,67.73
94,71.43
95,109.23
96,223.15
97,26.72
98,32.74
99,0
100,252.03
101,28.49
102,191.73
103,1842.86
104,28.98
105,0.54
106,1725.46
107,1490.07
108,228.44
109,58.12
110,3148.4
111,381.02
112,201.05
113,37.11
114,144.97
115,26.68
116,25.48
117,142.73
118,99.41
119,0
120,134.63
121,35.21
122,53.6
123,47
124,25.45
125,142.52
126,39.21
127,0.58
128,205.11
129,133.68
130,17.79
131,8.35
132,2519.03
133,744.11
134,581.52
135,440.03
136,309.84
137,144.34
138,33.28
139,62.17
140,140.7
141,36.89
142,117.99
143,35.04
144,129.24
145,26.38
146,967.62
147,130.94
148,31.23
149,122.27
150,29
151,42.16
152,131.55
153,26.17
154,111.58
155,30.13
156,776.24
157,33.4
158,131.65
159,24.37
160,98.08
161,108.17
162,131.73
163,28.47
164,26.94
165,131.83
166,37.95
167,23.76
168,27.95
169,126.53
170,188.6
171,61.29
172,20.84
173,21.29
174,20.75
175,202.61
176,0.55
177,23.46
178,10.97
179,753.15
180,44.03
181,454.98
182,612.74
183,2736.4
184,45.85
185,1817.18
186,1660.95
187,5344.55
188,49.9
189,118.6
190,0
191,126.29
192,283.62
193,16.34
194,114.96
195,115.49
196,0.01
197,220.84
198,168.95
199,136.03
200,27.31
201,202.94
202,12.23
203,3.48
204,202.25
205,4394.44
206,0.01
207,514.71
208,16.08
209,394.7
210,29.23
211,49.87
212,320.37
213,59.76
214,4233.68
215,2234.63
216,712.03
217,724.98
218,4.94
219,437.17
220,533.1
221,421.76
222,164.74
223,172.12
224,31.46
225,168.28
226,4.5
227,4.33
228,3.55
229,21.4
230,3513.43
231,1537.35
232,336.5
233,226.85
234,863.93
235,1933.86
236,181.93
237,53.8
238,31.46
239,35.58
240,18.54
241,197.09
242,25.38
243,51.98
244,58.24
245,51.66
246,656.64
247,414.49
248,186.05
249,156.96
250,11.75
251,20.89
252,144.87
253,123
254,93.06
255,88.86
256,122.59
257,83.57
258,19.5
259,122.6
260,798.24
261,22.97
262,87.78
263,27.43
264,89.63
265,25.75
266,84.49
267,123
268,20.6
269,30.41
270,122.06
271,57.88
272,48.37
273,103.73
274,85.06
275,13.39
276,111.89
277,25.79
278,90.62
279,47.04
280,20.57
281,53.38
282,28.33
283,29.31
284,28.47
285,42.3
286,50.28
287,6498.23
288,1111.33
289,150.76
290,346.79
291,601
292,483.03
293,408.25
294,554.79
295,17.37
296,5814.52
297,403.75
298,47.55
299,455.3
300,23.4
301,268.27
302,265.75
303,5106.79
304,20.04
305,346.7
306,342.52
307,6.69
308,1139.56
309,975.39
310,299.55
311,353.13
312,3241.55
313,1106.91
314,354.22
315,324.46
316,77.35
317,236.15
318,159.14
319,96.54
320,15.25
321,15.8
322,140.14
323,58.79
324,621.91
325,6.61
326,77.66
327,4075.14
328,115.55
329,6.49
330,46.55
331,81.68
332,125.09
333,26.6
334,84.17
335,29.17
336,54.82
337,96.61
338,27.96
339,30.66
340,108.78
341,8.74
342,1826.94
343,14.43
344,4503.09
345,354.62
346,120.82
347,74.31
348,3208.05
349,94.99
350,122.2
351,230.08
352,211.4
353,103.37
354,63.27
355,281.22
356,92.99
357,129.75
358,33.25
359,287.71
360,70.21
361,76.8
362,130.7
363,254.59
364,89.18
365,399.34
366,91.71
367,540.45
368,3982.9
369,306.27
370,953.52
371,699.8
372,2572.16
373,3386.9
374,922.29
375,672.67
376,409.2
377,114.88
378,1665.44
379,447.57
380,1369.73
381,1285.78
382,1357.64
383,9275.65
384,1509.31
385,1.59
386,338.71
387,12.41
388,174.01
389,313.38
390,43.28
391,546.01
392,463.44
393,111.54
394,265.56
395,104.62
396,8.6
397,393.33
398,129.9
399,387.03
400,99.06
401,525.54
402,46.84
403,354.22
404,162.91
405,268.84
406,792.3
407,1011.98
408,140.96
409,477.41
410,123.6
411,789.22
412,6162.06
413,1401.68
414,1735.47
415,2415.61
416,2386.12
417,2206.61
418,5124.81
419,172.18
420,4295.27
421,110.46
422,79.99
423,1877.59
424,705.5
425,699.56
426,1686.41
427,286.7
428,383.94
429,195.13
430,1660.63
431,6703.06
432,378.48
433,707.06
434,2642.74
435,0.48
436,1086.74
437,857.92
438,372.93
439,1964.75
440,1830.5
441,0
442,373.9
443,353.1
444,406.07
445,7118.49
446,608.96
447,575.59
448,327.45
449,183.97
450,123.82
451,153.23
452,682.56
453,402.53
454,160.38
455,279.41
456,236.72
457,103.65
458,71.7
459,377.16
460,484.45
461,696.02
462,512.51
463,409.96
464,558.06
465,168.32
466,824.28
467,676.53
468,90.53
469,1998.67
470,6182.21
471,537.37
472,363.52
473,869.92
474,0
475,662.14
476,0.01
477,374.37
478,307.73
479,158.36
480,586.27
481,655.83
482,2569.24
483,9532.31
484,1955.3
485,2769.05
486,35.67
487,49.77
488,7.7
489,207.1
490,324.95
491,269.26
492,66.71
493,136.83
494,119.89
495,1496.96
496,3.42
497,128.79
498,137.8
499,23.14
500,1198.93
501,522.29
502,590.29
503,44.46
504,89.86
505,91.5
506,1845.3
507,581.17
508,0.01
509,1890.22
510,567.68
511,556.45
512,1556.24
513,0.04
514,2076.23
515,3098.84
516,316.4
517,425.35
518,6.78
519,505.16
520,283.72
521,470.21
522,2757.81
523,1149.03
524,1073.08
525,1110.28
526,2755.39
527,82.56
528,124.5
529,88.39
530,114.22
531,89.94
532,103.74
533,0.12
534,117.38
535,103.05
536,120.45
537,58.05
538,109.07
539,50.53
540,72.26
541,147.82
542,194.72
543,824.05
544,100.02
545,909.38
546,84.32
547,15.72
548,69.03
549,309.25
550,143.93
551,94.82
552,304.72
553,819.2
554,1065.53
555,2042.05
556,48.36
557,130.57
558,164.54
559,58.89
560,62.13
561,53.32
562,37.16
563,56.87
564,254.25
565,5.76
566,64.63
567,58.1
568,37.04
569,355.8
570,257.51
571,148.98
572,328.57
573,1179.1
574,139.93
575,104.88
576,577.05
577,226.32
578,1576.49
579,2688.64
580,405.19
581,133.9
582,388.66
583,6.55
584,78.93
585,161.17
586,132.61
587,184.45
588,65.94
589,4.93
590,6.77
591,6.78
592,445.3
593,78.22
594,0.3
595,418.48
596,32.85
597,838.08
598,154.14
599,29.99
600,22.24
601,7.61
602,95.12
603,10.1
604,11.19
605,96.03
606,342.87
607,112.64
608,123.5
609,108.64
610,112.77
611,112.31
612,10.74
613,115.07
614,97.13
615,159.57
616,6.09
617,109.7
618,116.23
619,44.68
620,109.8
621,48.13
622,52.27
623,81.9
624,243.64
625,114.67
